,videoId,channelTitle,publishedAt,channelId,title,description,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,ASusE5qjoAg,東海オンエア,2019-05-31T11:58:15Z,UCutJqz56653xV2wwSvut_hQ,【目指せ商品化】文理対抗！ガチンコボードゲーム作り対決！,東海オンエアってもう｢チャンネル登録してください｣とか｢高評価よろしくお願いします｣とか言わなくなっちゃったけど、やっぱり言ったほうがいいってばよ？ チャンネル登録 ...,4610102,125948,1814,0,4492
1,GzPq9KfVIj8,東海オンエア,2019-06-01T10:40:40Z,UCutJqz56653xV2wwSvut_hQ,【理系編】文理対抗！ガチンコボードゲーム作り対決！,前編(文系編) https://www.youtube.com/watch?v=ASusE5qjoAg 語尾が戻ってきました。うれしいです。 ｢だってばよ｣時代は、概要欄も一言くらいにとどめていたのですが、 ...,4438484,179969,1507,0,5037
2,SgZzIrugEnU,すごろくやボードゲームのお店と会社,2019-10-03T15:59:53Z,UC-eApqGqN0N_S2s2ARJgt-A,すごろくやCM「ボードゲーム、おうちでやろう。」編,東京の高円寺駅と神保町店駅のすぐそばにある、国内最大級のボードゲームのお店と会社「すごろくや https://sugorokuya.jp/ 」のテレビCMです。 Credits: Director : 清水 ...,2459019,89,12,0,2
3,BNv7zbORfVM,ジャニーズJr.チャンネル,2019-08-07T12:45:00Z,UC1cHlPIE-kqiPvpyYz2O8rQ,Snow Man 【ボードゲーム】ベストアクトで演技力対決してみた！,どうもSnow Manです！ 今回はボードゲームをやりまぁす。挑戦したゲームは、演技力が試される「ベストアクト」！ 与えられたお題に対して、声と表情だけで演じきってもらい ...,2192089,,,0,3525
4,1y4_v6PnsOE,Snow Man,2020-05-13T10:30:00Z,UCuFPaemAaMR8R5cHzjy23dQ,Snow Man「リモートでボードゲームに挑戦」みんな顔が黒くなった！,２年ぶりにあのゲームをやってみました。 しかもリモートスタイルで！ するとみんな...とんでもない顔になっちゃいました！ Snow Man オフィシャルサイト ...,1889033,,,0,8831
5,E_A4gxbFYQQ,Fischer's-フィッシャーズ-,2020-07-18T12:13:15Z,UCibEhpu5HP45-w7Bq1ZIulw,【天才】いきなりボードゲームを作ってもらったら神作品が生まれた！？,二代目のチャンネルもよろしく！ ☆Fischer's-セカンダリ- □https://goo.gl/QgBhjD ☆チャンネル登録よろしくね！ □https://goo.gl/lSy9St ☆専用の絵文字や色々！,1534734,22757,545,0,1604
6,_xcgLglCPjA,東海オンエアの控え室,2019-06-21T14:44:49Z,UCynIYcsBwTrwBIecconPN2A,ピザ反省会 ＆ 文理対抗ボードゲーム大会結果発表,ピザ窯を作る動画 https://www.youtube.com/watch?v=V0vVckxPN34 https://www.youtube.com/watch?v=fVMuEX2cHZc&t=33s ボードゲームを作る動画 ...,1525941,18731,350,0,1821
7,OL3m2ZbKb1o,QuizKnock,2019-06-29T08:00:02Z,UCQ_MqAw18jFTlBB-f8BP7dw,世界最古のボードゲームが超簡単なのに奥が深い！！【紀元前アフリカのボドゲ】,東大生が世界最古のボドゲ「マンカラ」をやってみた ルールは超シンプルなのになんだこの奥深さ… 少しずつ解析して必勝パターンに導けるのは一体誰？ 今日の一問の ...,1451194,20322,324,0,1903
8,5iKr2bWVvzY,ジャニーズJr.チャンネル,2018-05-02T11:00:01Z,UC1cHlPIE-kqiPvpyYz2O8rQ,Snow Man 超盛り上がるボードゲーム【クイズいいセン行きまSHOW!】やってみた,どうもSnow Manです！ 今回は、話題のボードゲーム「クイズいいセン行きSHOW!」をメンバー６人で遊びました！ このゲームは、数字で答えるクイズゲームで、出題されるの ...,1346991,,,0,1502
9,siVHcoKNfY4,ジャニーズJr.チャンネル,2018-05-16T11:00:04Z,UC1cHlPIE-kqiPvpyYz2O8rQ,Snow Man 話題！【ボードゲームカフェ】に行ってみた,どうもSnow Manです！ 以前、僕たちの動画で超盛り上がったボードゲーム「クイズいいセン行きまSHOW!」。 そこで今回は、実際にボードゲームカフェに行っちゃおう！,1144040,,,0,957
